YearMonth,prcp_bins,0
199609,0mm,28
199609,1-4mm,2
199609,5-14mm,0
199609,15-29mm,0
199609,>30mm,0
199610,0mm,22
199610,1-4mm,7
199610,5-14mm,1
199610,15-29mm,1
199610,>30mm,0
199611,0mm,14
199611,1-4mm,12
199611,5-14mm,3
199611,15-29mm,0
199611,>30mm,1
199612,0mm,8
199612,1-4mm,12
199612,5-14mm,8
199612,15-29mm,2
199612,>30mm,1
199701,0mm,6
199701,1-4mm,16
199701,5-14mm,3
199701,15-29mm,4
199701,>30mm,2
199702,0mm,19
199702,1-4mm,9
199702,5-14mm,0
199702,15-29mm,0
199702,>30mm,0
199703,0mm,23
199703,1-4mm,8
199703,5-14mm,0
199703,15-29mm,0
199703,>30mm,0
199704,0mm,24
199704,1-4mm,5
199704,5-14mm,1
199704,15-29mm,0
199704,>30mm,0
199705,0mm,28
199705,1-4mm,2
199705,5-14mm,1
199705,15-29mm,0
199705,>30mm,0
199706,0mm,25
199706,1-4mm,5
199706,5-14mm,0
199706,15-29mm,0
199706,>30mm,0
199707,0mm,30
199707,1-4mm,1
199707,5-14mm,0
199707,15-29mm,0
199707,>30mm,0
199708,0mm,29
199708,1-4mm,1
199708,5-14mm,1
199708,15-29mm,0
199708,>30mm,0
199709,0mm,29
199709,1-4mm,1
199709,5-14mm,0
199709,15-29mm,0
199709,>30mm,0
199710,0mm,24
199710,1-4mm,6
199710,5-14mm,0
199710,15-29mm,1
199710,>30mm,0
199711,0mm,8
199711,1-4mm,11
199711,5-14mm,9
199711,15-29mm,1
199711,>30mm,1
199712,0mm,13
199712,1-4mm,14
199712,5-14mm,2
199712,15-29mm,2
199712,>30mm,0
199801,0mm,1
199801,1-4mm,16
199801,5-14mm,8
199801,15-29mm,5
199801,>30mm,1
199802,0mm,1
199802,1-4mm,11
199802,5-14mm,9
199802,15-29mm,6
199802,>30mm,1
199803,0mm,9
199803,1-4mm,18
199803,5-14mm,4
199803,15-29mm,0
199803,>30mm,0
199804,0mm,13
199804,1-4mm,14
199804,5-14mm,3
199804,15-29mm,0
199804,>30mm,0
199805,0mm,12
199805,1-4mm,13
199805,5-14mm,6
199805,15-29mm,0
199805,>30mm,0
199806,0mm,24
199806,1-4mm,6
199806,5-14mm,0
199806,15-29mm,0
199806,>30mm,0
199807,0mm,31
199807,1-4mm,0
199807,5-14mm,0
199807,15-29mm,0
199807,>30mm,0
199808,0mm,31
199808,1-4mm,0
199808,5-14mm,0
199808,15-29mm,0
199808,>30mm,0
199809,0mm,24
199809,1-4mm,6
199809,5-14mm,0
199809,15-29mm,0
199809,>30mm,0
199810,0mm,24
199810,1-4mm,6
199810,5-14mm,1
199810,15-29mm,0
199810,>30mm,0
199811,0mm,6
199811,1-4mm,18
199811,5-14mm,5
199811,15-29mm,1
199811,>30mm,0
199812,0mm,17
199812,1-4mm,12
199812,5-14mm,2
199812,15-29mm,0
199812,>30mm,0
199901,0mm,11
199901,1-4mm,14
199901,5-14mm,4
199901,15-29mm,2
199901,>30mm,0
199902,0mm,9
199902,1-4mm,10
199902,5-14mm,7
199902,15-29mm,2
199902,>30mm,0
199903,0mm,15
199903,1-4mm,12
199903,5-14mm,4
199903,15-29mm,0
199903,>30mm,0
199904,0mm,19
199904,1-4mm,7
199904,5-14mm,4
199904,15-29mm,0
199904,>30mm,0
199905,0mm,28
199905,1-4mm,3
199905,5-14mm,0
199905,15-29mm,0
199905,>30mm,0
199906,0mm,28
199906,1-4mm,2
199906,5-14mm,0
199906,15-29mm,0
199906,>30mm,0
199907,0mm,31
199907,1-4mm,0
199907,5-14mm,0
199907,15-29mm,0
199907,>30mm,0
199908,0mm,26
199908,1-4mm,5
199908,5-14mm,0
199908,15-29mm,0
199908,>30mm,0
199909,0mm,23
199909,1-4mm,7
199909,5-14mm,0
199909,15-29mm,0
199909,>30mm,0
199910,0mm,27
199910,1-4mm,4
199910,5-14mm,0
199910,15-29mm,0
199910,>30mm,0
199911,0mm,16
199911,1-4mm,10
199911,5-14mm,4
199911,15-29mm,0
199911,>30mm,0
199912,0mm,21
199912,1-4mm,10
199912,5-14mm,0
199912,15-29mm,0
199912,>30mm,0
200001,0mm,6
200001,1-4mm,17
200001,5-14mm,6
200001,15-29mm,0
200001,>30mm,2
200002,0mm,1
200002,1-4mm,17
200002,5-14mm,7
200002,15-29mm,3
200002,>30mm,1
200003,0mm,18
200003,1-4mm,10
200003,5-14mm,3
200003,15-29mm,0
200003,>30mm,0
200004,0mm,21
200004,1-4mm,8
200004,5-14mm,1
200004,15-29mm,0
200004,>30mm,0
200005,0mm,23
200005,1-4mm,5
200005,5-14mm,3
200005,15-29mm,0
200005,>30mm,0
200006,0mm,26
200006,1-4mm,4
200006,5-14mm,0
200006,15-29mm,0
200006,>30mm,0
200007,0mm,30
200007,1-4mm,1
200007,5-14mm,0
200007,15-29mm,0
200007,>30mm,0
200008,0mm,26
200008,1-4mm,5
200008,5-14mm,0
200008,15-29mm,0
200008,>30mm,0
200009,0mm,25
200009,1-4mm,5
200009,5-14mm,0
200009,15-29mm,0
200009,>30mm,0
200010,0mm,16
200010,1-4mm,9
200010,5-14mm,5
200010,15-29mm,1
200010,>30mm,0
200011,0mm,14
200011,1-4mm,15
200011,5-14mm,1
200011,15-29mm,0
200011,>30mm,0
200012,0mm,16
200012,1-4mm,14
200012,5-14mm,1
200012,15-29mm,0
200012,>30mm,0
200101,0mm,13
200101,1-4mm,11
200101,5-14mm,7
200101,15-29mm,0
200101,>30mm,0
200102,0mm,12
200102,1-4mm,6
200102,5-14mm,10
200102,15-29mm,0
200102,>30mm,0
200103,0mm,18
200103,1-4mm,9
200103,5-14mm,4
200103,15-29mm,0
200103,>30mm,0
200104,0mm,18
200104,1-4mm,8
200104,5-14mm,4
200104,15-29mm,0
200104,>30mm,0
200105,0mm,31
200105,1-4mm,0
200105,5-14mm,0
200105,15-29mm,0
200105,>30mm,0
200106,0mm,25
200106,1-4mm,5
200106,5-14mm,0
200106,15-29mm,0
200106,>30mm,0
200107,0mm,31
200107,1-4mm,0
200107,5-14mm,0
200107,15-29mm,0
200107,>30mm,0
200108,0mm,28
200108,1-4mm,3
200108,5-14mm,0
200108,15-29mm,0
200108,>30mm,0
200109,0mm,25
200109,1-4mm,5
200109,5-14mm,0
200109,15-29mm,0
200109,>30mm,0
200110,0mm,24
200110,1-4mm,6
200110,5-14mm,1
200110,15-29mm,0
200110,>30mm,0
200111,0mm,7
200111,1-4mm,19
200111,5-14mm,2
200111,15-29mm,2
200111,>30mm,0
200112,0mm,4
200112,1-4mm,15
200112,5-14mm,8
200112,15-29mm,4
200112,>30mm,0
200201,0mm,7
200201,1-4mm,22
200201,5-14mm,2
200201,15-29mm,0
200201,>30mm,0
200202,0mm,14
200202,1-4mm,12
200202,5-14mm,2
200202,15-29mm,0
200202,>30mm,0
200203,0mm,17
200203,1-4mm,8
200203,5-14mm,6
200203,15-29mm,0
200203,>30mm,0
200204,0mm,20
200204,1-4mm,10
